,LEC,5341701801,7830471152,5618250778,3056571053,5606164096,4900219897
,MEC,2576770345,3628376490,2575731103,377361465.5,773049991.8,1282619658
,Sum ,7918472146,11458847642,8193981881,3433932519,6379214088,6182839555
,Neuron ID,LI,LII,LIII,LIV,LV,LVI
EC LI-II Multipolar-Pyramidal,6094,,743043397.7,487540725.2,,,
,,235071039.2,182955122.2,,,,
EC LI-II Pyramidal-Fan,6005,17059406.71,23873240.64,23462001.33,,,
,,12310147.97,21535110.89,,,,
MEC LII-III Pyramidal-Multiform,6008,,28850114.9,33408460.18,26994778.14,106370671.9,41658908.16
,,15090969.5,16664482.14,20111928.28,,,
MEC LII Oblique Pyramidal,6019,,,35481865.48,36045969.38,,
,,23615633.38,38761996.64,,,,
MEC LII Stellate,6003,33285690.73,206420196.5,139023737.2,2479565.865,82112584.74,135396909.8
,,68953550.82,76768297.49,,,,
EC LII-III Pyramidal-Tripolar,6082,105363915.6,41173070.11,55021754.83,,,
,,9222589.775,14148690.9,16646470.48,,,
LEC LIII Multipolar Principal,6025,27785303.08,26956740.9,58896226.33,15352160.4,15985767.02,
,,,,52000675.48,10356520,27520373.41,
EC LIII Pyramidal,6017,,,7497109.378,2339834.813,10714606.94,922108.9789
,,4134922.729,4648591.296,18104560.75,,,
LEC LIII Complex-Pyramidal,6007,,40602406.61,44766538.84,11397824.79,36034161.98,
,,10876753.72,13818062.81,22795649.59,26500819.83,,
MEC LIII Complex Pyramidal,6006,8416967.162,31351171.35,15630837.54,2097274.427,,
,,10612373.46,,48193741.28,10189228.82,,
MEC LIII Bipolar Complex Pyramidal,6024,9237899.306,35120008.68,42022751.74,49640338.54,,
,,,11951128.47,22892473.96,,,
EC LIII Pyramidal-Stellate,6092,1176050.347,,7857456.597,,,
,,7108723.958,3177612.847,38393463.54,13425295.14,,
EC LIII Stellate,6018,,,10940235.4,,,
,,13760208.24,12878759.62,10935264.83,,,
EC LIII-V Bipolar Pyramidal,6095,,,88878521.58,29314785.78,116800869.1,59693830.56
,,13761759.86,13501752.35,13833930.34,11162999.72,38596946.3,
EC LIV-V Pyramidal-Horizontal,6085,,,,,1203615.702,6398698.347
,,9117861.57,1921373.967,,7482582.645,43859504.13,
EC LIV-VI Deep Multipolar Principal,6086,,,,28468776.85,24343070.44,38558043.57
,,,,,18649342.31,44863536.36,39866758.49
MEC LV Multipolar-Pyramidal,6033,,,41251008.81,6783769.853,24378887.82,20669705.92
,,,,,21844489.18,39389991.36,
EC LV Deep Pyramidal,6021,,,,,12619479,10784428.9
,,9789956.635,27295074.71,,,67510289.47,20167699.01
MEC LV Pyramidal,6002,3604878.772,12379480.18,17236829.12,5957836.933,28145647.65,14577770.99
,,7148750.891,13753938.43,,,50196380,
MEC LV Superficial Pyramidal,6023,,5555029.404,17434506.29,1132989.254,3025640.65,
,,5634865.473,,9937883.215,3091655.81,12666130.45,
MEC LV-VI Pyramidal-Polymorphic,6052,,,,,,53107486.44
,,,,,,12100805.49,26849284.91
LEC LVI Multipolar-Pyramidal,6078,,,13242574.59,5932189.904,27779095.52,19686665.42
,,,,,,22110639.89,60749544
EC LII Axo-Axonic,6048,,10637804.87,,,,
,,,2062542.612,,,,
MEC LII Basket,6096,,74498801.65,42271363.64,,,
,,,35121198.35,,,,
MEC LIII Superficial Multipolar Interneuron,6040,,64804526.17,150048944.8,,,
,,14385354.98,26671334.39,45193007.54,,,
MEC LIII Superficial Trilayered Interneuron,6038,48338945.8,21723879.48,2745535.29,,,
,,39204761.08,15350957.34,5474219.914,,,
EC LII Basket-Multipolar,6053,,60338867.71,,,,
,,10379082.03,26291590.33,,,,